phrase,count
zrównoważony rozwój,14
gospodarować odpad,215
opłata gospodarować,166
woda polski,128
prawo wodny,95
woda opadowy,77
ocena oddziaływanie,78
decyzja środowiskowy,72
oddziaływanie środowisko,71
pobór woda,67
odbierać odpad,65
społeczny odpowiedzialność,211
zielony wodór,207
sprawa klimat,7
zmniejszyć zużycie,181
żywność ekologiczny,63
kwestia klimatyczny,6
katastrofa klimatyczny,6
odprowadzać ściek,57
jakość woda,56
odprowadzać woda,52
woda zbiorowy,44
opadowy roztopowy,43
środowiskowy uwarunkowanie,43
produkcja ekologiczny,43
zbierać odpad,40
inspektor ochrona,38
przedsięwzięcie środowisko,37
stan woda,37
informacja środowisko,35
zagospodarować odpad,30
środowisko ochrona,30
produkt ekologiczny,30
środowisko ocena,29
organizacja ekologiczny,25
śródlądowy woda,25
trzęsienie ziemia,25
zmiana klimat,10
zmiana klimatyczny,8
zielony ład,8
walka klimat,6
produkcja energia,924
zużycie energia,899
cena energia,1731
walka smogiem,6
neutralność klimatyczny,6
stawiać zrównoważony,4
system kaucyjny,4
auto spalinowy,4
odpad komunalny,567
wytwarzać energia,559
tworzywo sztuczny,479
energia oze,436
elektrownia wiatrowy,406
zapotrzebowanie energia,367
ministerstwo klimat,362
środowisko gospodarka,347
morski farma,324
pojazd elektryczny,320
morski energetyka,302
koszt energia,286
magazyn energia,279
ustawa oze,245
cel zrównoważony,226
minister klimat,213
pomp ciepło,211
minister środowisko,212
odpad opakowaniowy,202
zielony certyfikat,201
zużycie woda,169
zielony inwestycja,166
koszt emisja,157
farma fotowoltaiczny,156
odpowiedzialny rozwój,155
napęd elektryczny,140
turbina wiatrowy,141
kolektor słoneczny,140
paliwo alternatywny,225
ochrona środowisko,4
ochrona klimat,4
polityka klimatyczny,4
odpowiedzialny biznes,4
transformacja energetyczny,4
źródło energia,182
emisja co2,360
energia elektryczny,168
gaz cieplarniany,149
emisja gaz,130
dwutlenek węgiel,130
odnawialny źródło,127
globalny ocieplenie,112
efektywność energetyczny,101
redukcja emisja,99
szczyt klimatyczny,80
gospodarka obieg,80
emisja dwutlenek,69
środowisko naturalny,69
klimat środowisko,67
czysty powietrze,63
ograniczyć emisja,57
sprawiedliwy transformacja,56
energetyka jądrowy,56
obieg zamknięty,55
elektrownia jądrowy,53
energetyka wiatrowy,51
energia odnawialny,48
polityka energetyczny,48
jakość powietrze,47
gospodarka odpad,47
kryzys klimatyczny,46
zielony transformacja,45
zielony energia,45
źródło odnawialny,43
wzrost temperatura,42
uprawnienie emisja,39
porozumienie paryskiy,38
system energetyczny,38
szczyt klimatyczn,37
obieg zamknąć,37
program czysty,36
miks energetyczny,36
zanieczyszczenie powietrze,35
samochód elektryczny,35
gospodarka wodny,34
osiągnąć neutralność,34
konferencja klimatyczny,33
przyjazny środowisko,32
farma wiatrowy,32
europejski zielony,31
wpływ środowisko,29
ograniczać emisja,29
czysty energia,28
zielony zamówienie,27
średni temperatura,27
ślad węglowy,26
katastrofa naturalny,26
energetyka odnawialny,25
spraw zmiana,25
kryzys energetyczny,25
ministerstwo środowisko,24
zmniejszyć emisja,24
odejść węgiel,24
procent emisja,24
fala upał,23
przetwarzać odpad,23
pompa ciepło,23
klimatyczny cop,23
zielony obligacja,48
energia słoneczny,47
instalacja fotowoltaiczny,45
klimatyczny 2050,43
cel klimatyczny,43
stan środowisko,40
ochrona przyroda,40
klimatyczny katowicach,37
termomodernizacja budynek,35
udział oze,33
farm wiatrowy,32
rozwój elektromobilność,31
ocieplenie klimat,40
klimatyczny onz,30
klimatyczny paryż,30
globalny emisja,30
bezpieczeństwo żywnościowy,0
mały opad,0
ekstremalny zjawisko,0
strategia klimatyczny,0
uciekający katastrofa,0
aktywistka klimatyczny,0
aktywisty klimatyczny,0
aktywiść klimatyczny,0
ochrona zwierzę,0
bezczynność klimatyczny,0
wymóg klimatyczny,0
ekologiczny ogrzewać,0
opłata klimatyczny,0
zielony rozwiązanie,0
co2 fighters,0
cena żywność,0
zatruwać morze,0
zrównoważony transport,0
redukcja zanieczyszczenie,0
dbałość środowisko,0
elektrownia wiatrowy,0
zatrutych miasto,0
młodzieżowy strajk,0
strajk klimatyczny,0
