phrase,count
elektromobilność,4
spalin,0
zielony wodór,207
elektryczny,343
pojazd elektryczny,320
napęd elektryczny,140
paliwo alternatywny,225
samochód elektryczny,35
rozwój elektromobilność,31
strefa czysty transport,52
ładować samochód elektryczny,48
wodór,0
ładować pojazd elektryczny,256
auto spalinowy,C
zrównoważony transport,C
auto elektryczny,442
stacja ładować,273
e auto,221
autobus elektryczny,215
infrastruktura ładować,198
punkt ładować,195
elektryczny samochód,192
ładować pojazd,109
czysty transport,106
silnik elektryczny,105
auto prąd,103
ładować samochód,99
car sharing,92
elektryczny auto,88
elektromobilność polska,78
elektryczny pojazd,71
rower elektryczny,60
e samochód,58
paliwach alternatywny,55
elektryczny hybrydowy,55
elektromobilność paliwach,54
niskoemisyjnego transport,53
ładować auto,52
elektryczny model,49
model elektryczny,48
emisja spaliny,46
stowarzyszenie paliwo alternatywny,90
elektromobilność paliwach alternatywny,54
samochód napęd elektryczny,53
fundusz niskoemisyjnego transport,45
paliwo alternatywny pspa,44
ustawa elektromobilność paliwach,41
rozwój elektromobilność polska,40
auto napęd elektryczny,39
stacja ładować pojazd,39
zakup samochód elektryczny,34
promocja pojazd elektryczny,34
elektryczny samochód dostawczy,34
elektryczny samochód osobowy,31
milion auto elektryczny,28
ładować auto elektryczny,26
sprzedaż samochód elektryczny,24
cena samochód elektryczny,23
infrastruktura paliwo alternatywny,23
stacja ładować samochód,22
tysiąc punkt ładować,22
milion samochód elektryczny,22
infrastruktura ładować pojazd,22
rynek paliwo alternatywny,22
rynek samochód elektryczny,22
samochód elektryczny polska,21
stowarzyszć paliwo alternatywny,21
rozwój infrastruktura ładować,19
samochód czysto elektryczny,19
zakup auto elektryczny,19
napęd czysto elektryczny,19
punkt szybki ładować,18
elektryczny car sharing,18
szybki stacja ładować,18
program rozwój elektromobilność,18
rynek autobus elektryczny,18
rozbudowy infrastruktura ładować,18
punkt ładować samochód,17
ładować prąd stały,16
ładowarka prąd przemienny,16
ładować e auto,16
elektryczny hybryd plug,16
infrastruktura ładować samochód,16
pojazd napęd elektryczny,15
zakup e auto,15
liczba e auto,15
hybrydowy,287
elektryk,271
