phrase,count
odpad,772
plastik,6
gospodarować odpad,215
opłata gospodarować,166
odbierać odpad,65
zmniejszyć zużycie,181
zbierać odpad,40
zagospodarować odpad,30
odpad komunalny,567
tworzywo sztuczny,479
odpad opakowaniowy,202
obieg zamknięty,55
obieg zamknąć,37
przetwarzać odpad,23
zatrutych miasto,0
opakowanie tworzywo sztuczny,74
odpad tworzywo sztuczny,50
odbierać odpad komunalny,38
czystość porządek gmina,73
system gospodarować odpad,20
gospodarować odpad komunalny,84
gospodarka obieg zamknięty,45
gospodarka obieg zamknąć,33
gospodarka obieg,127
cykl życie produkt,254
opłata gospodarować odpad,270
powstawać odpad komunalny,285
marnowania produkt spożywczy,407
żywność ekologiczny,T
produkcja ekologiczny,T
produkt ekologiczny,T
gospodarka odpad,T
bezpieczeństwo żywnościowy,T
rynek żywność ekologiczny,T
ekologiczny metoda produkcja,T
rynek żywność ekologiczny,T
platik,35
zbiórka odpad,174
odbiór odpad,245
ilość odpad,163
poziom recykling,163
wywóz śmieć,143
recykling odpad,101
powstawać odpad,97
segregacja odpad,93
system gospodarka odpad,111
zbierać odpad komunalny,107
selektywny zbierać odpad,104
instalacja przetwarzać odpad,63
zapobiegać powstawać odpad,32
system rozszerzony odpowiedzialność,32
